category,category_id,subcategory,subcategory_id,amount,year
議会費,1,議会費,1-1,463169000,2013
総務費,2,総務管理費,2-1,5053428000,2013
総務費,2,徴税費,2-2,578929000,2013
総務費,2,戸籍住民基本台帳費,2-3,402289000,2013
総務費,2,選挙費,2-4,112282000,2013
総務費,2,統計調査費,2-5,45622000,2013
総務費,2,監査委員費,2-6,57057000,2013
民生費,3,社会福祉費,3-1,7391612000,2013
民生費,3,児童福祉費,3-2,9502930000,2013
民生費,3,生活保護費,3-3,3734443000,2013
民生費,3,災害援助費,3-4,15631000,2013
衛生費,4,保健衛生費,4-1,2505619000,2013
衛生費,4,清掃費,4-2,2790096000,2013
労働費,5,労働諸費,5-1,61112000,2013
農林水産業費,6,農業費,6-1,417824000,2013
商工費,7,商工費,7-1,458741000,2013
土木費,8,土木管理費,8-1,81352000,2013
土木費,8,道路橋梁費 ,8-2,824998000,2013
土木費,8,河川費,8-3,73085000,2013
土木費,8,都市計画費,8-4,2397267000,2013
土木費,8,住宅費,8-5,15052000,2013
消防費,9,消防費,9-1,1987602000,2013
教育費,10,教育総務費,10-1,680627000,2013
教育費,10,小学校費,10-2,1541379000,2013
教育費,10,中学校費,10-3,526643000,2013
教育費,10,幼稚園費,10-4,406257000,2013
教育費,10,社会教育費,10-5,1782208000,2013
教育費,10,保健体育費,10-6,1838172000,2013
公債費,11,公債費,11-1,5969422000,2013
諸支出金,12,基金費,12-1,3152000,2013
予備費,13,予備費,13-1,130000000,2013
